,sample,latitude,longitude,date,time_botto,site,location,visibility,image,fov_Limite,fov_Open,mean_relie,sd_relief,broad_Cons,broad_Macr,broad_Seag,broad_Spon,broad_Ston,broad_Unco,broad_Unkn,Total_Sum,Total_adj,Class,geometry,kndavi,Cluster
94,C711,-31.53386333,115.5450067,9/04/2021,07:15:05,Two Rocks,Perth,Good,Bottom,0.0,100.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,68.0,62.0,SAV,POINT (115.5450067 -31.53386333),0.13317313759937655,0
95,C723,-31.53924667,115.5402217,9/04/2021,07:24:53,Two Rocks,Perth,Moderate,Bottom,0.0,100.0,1.04761904761905,0.215540268704521,0.0,33.0,0.0,0.0,0.0,67.0,0.0,67.0,67.0,Sand,POINT (115.5402217 -31.53924667),0.3528086428755719,1
96,C754,-31.54712167,115.5457667,9/04/2021,07:35:09,Two Rocks,Perth,Moderate,Bottom,0.0,100.0,2.02564102564103,1.01273936708367,0.0,73.0,0.0,0.0,0.0,27.0,6.0,75.0,71.0,Sand,POINT (115.5457667 -31.54712167),0.14614293015162924,0
97,C738,-31.54648,115.5556417,9/04/2021,07:44:55,Two Rocks,Perth,Good,Bottom,0.0,100.0,2.02222222222222,0.398228400024231,0.0,94.0,0.0,0.0,0.0,6.0,6.0,70.0,66.0,SAV,POINT (115.5556417 -31.54648),0.23683306470142393,0
98,C722,-31.560155,115.5747767,9/04/2021,07:58:54,Two Rocks,Perth,Moderate,Bottom,0.0,100.0,3.48275862068966,0.599455288131016,0.0,100.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,SAV,POINT (115.5747767 -31.560155),0.12452610330863478,0
99,C710,-31.56831667,115.5799283,9/04/2021,08:09:49,Two Rocks,Perth,Moderate,Bottom,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,74.0,74.0,Sand,POINT (115.5799283 -31.56831667),0.20582646034076738,1
100,C736,-31.57767167,115.5884667,9/04/2021,08:20:13,Two Rocks,Perth,Good,Bottom,1.25,98.75,0.108108108108108,0.314800093867678,0.0,0.0,0.0,0.0,0.0,100.0,1.0,70.0,69.0,Sand,POINT (115.5884667 -31.57767167),0.14614293015162924,1
101,C740,-31.54231833,115.5947067,9/04/2021,08:38:14,Two Rocks,Perth,Good,Bottom,0.0,100.0,0.175,0.384807644254793,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.0,66.0,Sand,POINT (115.5947067 -31.54231833),0.35666221362196837,1
102,C724,-31.54873667,115.5953233,9/04/2021,08:46:45,Two Rocks,Perth,Good,Bottom,0.0,100.0,0.075,0.266746782836918,0.0,0.0,0.0,0.0,0.0,100.0,0.0,66.0,66.0,Sand,POINT (115.5953233 -31.54873667),0.6104799644732345,1
103,C712,-31.55413167,115.60013,9/04/2021,08:55:23,Two Rocks,Perth,Good,Bottom,0.0,100.0,0.05,0.220721427863152,0.0,0.0,0.0,0.0,0.0,100.0,0.0,65.0,65.0,Sand,POINT (115.60013 -31.55413167),0.4656898248924831,1
104,C752,-31.56798167,115.6049867,9/04/2021,09:07:29,Two Rocks,Perth,Good,Bottom,0.0,100.0,0.025,0.158113883008419,0.0,0.0,0.0,0.0,0.0,100.0,0.0,65.0,65.0,Sand,POINT (115.6049867 -31.56798167),0.38490087499991094,1
105,C743,-31.58050833,115.6363183,9/04/2021,09:22:55,Two Rocks,Perth,Moderate,Bottom,1.25,98.75,0.025,0.158113883008419,0.0,0.0,0.0,0.0,0.0,100.0,1.0,68.0,67.0,Sand,POINT (115.6363183 -31.58050833),0.9171216634725087,1
106,C720,-31.56445333,115.61741,9/04/2021,09:44:10,Two Rocks,Perth,Moderate,Bottom,0.0,100.0,1.05,0.220721427863152,0.0,47.0,0.0,0.0,0.0,53.0,5.0,58.0,55.0,Sand,POINT (115.61741 -31.56445333),0.22355860135014444,1
107,C732,-31.55850922,115.6184858,9/04/2021,09:51:57,Two Rocks,Perth,Moderate,Bottom,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,53.0,53.0,Sand,POINT (115.6184858 -31.55850922),0.5912087375447859,1
